Price,Number of rooms,Living Area,Terrace,Area of the terrace,Garden,Area of the garden,Surface area of the plot of land,Number of facades,zipcode
590.0,1.0,88.0,False,0.0,False,0.0,88.0,3.0,7700
880.0,2.0,88.0,True,18.0,True,159.0,202.0,2.0,4219
2900.0,4.0,247.0,True,60.0,True,40.0,219.0,3.0,1150
1215.0,3.0,141.0,True,55.0,True,55.0,200.0,2.0,2300
1050.0,3.0,117.0,False,0.0,True,78.0,184.0,2.0,3400
1900.0,3.0,130.0,True,20.0,True,300.0,365.0,3.0,1170
3750.0,4.0,300.0,True,30.0,True,750.0,1100.0,3.0,1410
1375.0,2.0,150.0,True,33.0,True,185.0,185.0,3.0,1640
3750.0,4.0,264.0,True,60.0,True,1050.0,1150.0,3.0,1410
1700.0,4.0,180.0,True,20.0,True,250.0,600.0,4.0,1472
4500.0,5.0,375.0,True,18.0,False,0.0,200.0,3.0,1200
1395.0,4.0,220.0,True,11.0,True,201.0,201.0,3.0,1310
2900.0,5.0,350.0,True,100.0,False,0.0,400.0,3.0,1180
1590.0,2.0,253.0,False,0.0,True,80.0,80.0,2.0,2850
2200.0,4.0,272.0,True,15.0,True,70.0,340.0,3.0,1410
1800.0,3.0,200.0,True,25.0,True,300.0,1000.0,2.0,1380
1200.0,3.0,189.0,True,30.0,True,20.0,65.0,3.0,5030
1350.0,4.0,229.0,False,0.0,False,0.0,655.0,4.0,3202
1500.0,5.0,215.0,True,92.0,True,2500.0,2678.0,4.0,5340
1090.0,1.0,74.0,True,10.0,False,0.0,130.0,3.0,1390
4750.0,4.0,370.0,True,70.0,True,900.0,1350.0,4.0,1410
5250.0,4.0,400.0,True,70.0,True,900.0,1350.0,4.0,1410
2500.0,4.0,255.0,True,40.0,True,2500.0,2600.0,4.0,1380
945.0,4.0,165.0,True,30.0,True,75.0,110.0,2.0,6761
900.0,3.0,207.0,False,0.0,False,0.0,70.0,3.0,5651
1000.0,4.0,275.0,False,0.0,False,0.0,90.0,2.0,5651
760.0,2.0,100.0,True,15.0,False,0.0,61.0,2.0,9200
750.0,2.0,80.0,False,0.0,False,0.0,80.0,2.0,7060
1650.0,4.0,215.0,True,35.0,True,1600.0,1800.0,2.0,1440
2200.0,5.0,200.0,True,26.0,True,591.0,591.0,4.0,1310
675.0,4.0,136.0,False,0.0,False,0.0,50.0,2.0,9600
1950.0,4.0,224.0,False,0.0,False,0.0,1572.0,4.0,9830
1390.0,4.0,223.0,True,25.0,True,150.0,277.0,2.0,6210
780.0,3.0,116.0,False,0.0,False,0.0,330.0,2.0,9500
2300.0,4.0,220.0,True,15.0,False,0.0,505.0,3.0,1630
1700.0,4.0,150.0,True,20.0,False,0.0,813.0,2.0,1030
880.0,3.0,120.0,True,8.0,True,77.0,146.0,2.0,4280
5000.0,8.0,350.0,True,20.0,True,88.0,188.0,2.0,1000
1200.0,5.0,217.0,True,40.0,True,674.0,814.0,4.0,3300
1200.0,3.0,130.0,False,0.0,True,990.0,990.0,4.0,9850
1200.0,3.0,130.0,False,0.0,True,990.0,990.0,4.0,9850
2395.0,4.0,200.0,True,15.0,True,500.0,700.0,3.0,3080
800.0,3.0,120.0,False,0.0,False,0.0,20.0,3.0,4910
1950.0,4.0,235.0,False,0.0,True,950.0,950.0,4.0,8300
1050.0,3.0,206.0,False,0.0,True,200.0,512.0,3.0,2980
1450.0,3.0,115.0,True,43.0,False,0.0,800.0,3.0,1301
910.0,2.0,97.0,False,0.0,True,28.0,125.0,4.0,2950
1560.0,4.0,120.0,True,20.0,False,0.0,185.0,2.0,6000
2690.0,3.0,165.0,True,12.0,False,0.0,150.0,3.0,1180
1950.0,5.0,231.0,True,12.0,False,0.0,409.0,3.0,1910
895.0,4.0,179.0,True,14.0,False,0.0,150.0,2.0,6870
1300.0,4.0,275.0,True,30.0,True,300.0,95.0,4.0,9160
1150.0,3.0,135.0,False,0.0,True,700.0,700.0,4.0,7912
1450.0,3.0,179.0,False,0.0,False,0.0,1000.0,3.0,6717
2200.0,4.0,165.0,True,5.0,False,0.0,60.0,2.0,1200
2190.0,4.0,270.0,True,15.0,True,70.0,140.0,3.0,1410
2900.0,5.0,280.0,True,16.0,True,130.0,263.0,3.0,1950
600.0,2.0,120.0,False,0.0,False,0.0,250.0,2.0,6141
775.0,2.0,68.0,True,22.0,False,0.0,260.0,4.0,5020
1500.0,5.0,257.0,True,12.0,True,800.0,800.0,4.0,5310
700.0,2.0,75.0,False,0.0,False,0.0,411.0,3.0,8610
1100.0,3.0,176.0,True,48.0,True,972.0,972.0,4.0,2560
980.0,2.0,165.0,True,15.0,True,35.0,96.0,2.0,7500
1100.0,4.0,150.0,True,21.0,False,0.0,64.0,2.0,6720
1300.0,3.0,110.0,True,25.0,True,200.0,300.0,3.0,1450
1100.0,3.0,135.0,False,0.0,False,0.0,370.0,3.0,3560
1750.0,2.0,70.0,True,35.0,True,35.0,70.0,2.0,1000
1200.0,2.0,73.0,True,20.0,True,78.0,124.0,2.0,1180
1195.0,3.0,115.0,True,24.0,True,600.0,600.0,3.0,5001
2800.0,6.0,296.0,True,47.0,False,0.0,1500.0,4.0,3090
1300.0,3.0,170.0,True,10.0,True,310.0,700.0,4.0,1731
800.0,3.0,175.0,True,30.0,False,0.0,100.0,2.0,3840
1390.0,3.0,270.0,True,30.0,True,2100.0,2200.0,4.0,5333
2500.0,3.0,275.0,True,25.0,True,60.0,275.0,2.0,1933
2500.0,4.0,200.0,True,20.0,True,15.0,1504.0,4.0,3080
2200.0,4.0,250.0,False,0.0,True,70.0,320.0,3.0,1410
1000.0,3.0,214.0,True,23.0,True,470.0,813.0,4.0,3890
1400.0,3.0,185.0,False,0.0,True,100.0,180.0,2.0,5002
850.0,2.0,95.0,True,18.0,True,250.0,377.0,3.0,4651
3900.0,6.0,300.0,True,18.0,False,0.0,104.0,2.0,1040
1350.0,2.0,170.0,False,0.0,True,300.0,417.0,4.0,9030
2900.0,5.0,230.0,True,20.0,True,200.0,420.0,3.0,1200
2900.0,5.0,275.0,True,16.0,True,50.0,150.0,2.0,1040
1650.0,3.0,180.0,True,60.0,True,800.0,1200.0,3.0,1440
950.0,4.0,160.0,True,21.0,True,50.0,80.0,3.0,5170
