Unnamed: 0,To rent,To sell,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of the terrace,Garden,Area of the garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building,zipcode,type,price_per_sq_m,region
10235664,True,False,380.0,6.0,215.0,True,True,False,True,25.0,False,0.0,135.0,135.0,2.0,False,Fraîchementrénové,6000,Autresbiens,2.814814814814815,Wallonia
10235665,True,False,380.0,6.0,215.0,True,True,False,True,25.0,False,0.0,135.0,135.0,2.0,False,Fraîchementrénové,6000,Maison,2.814814814814815,Wallonia
10237786,True,False,1850.0,3.0,175.0,True,False,False,True,50.0,True,170.0,500.0,500.0,3.0,False,Excellentétat,1970,Maison,3.7,Brussels
10240203,True,False,7000.0,6.0,450.0,True,False,False,True,50.0,True,50.0,227.0,227.0,2.0,False,Bon,1050,Bienexceptionnel,30.837004405286343,Brussels
10240297,True,False,875.0,2.0,120.0,True,False,False,True,20.0,True,125.0,280.0,280.0,3.0,False,Fraîchementrénové,4840,Maison,3.125,Wallonia
10240779,True,False,1700.0,4.0,220.0,True,False,False,False,0.0,True,300.0,405.0,405.0,3.0,False,Excellentétat,1400,Maison,4.197530864197531,Brussels
10241453,True,False,2650.0,4.0,320.0,True,False,False,True,10.0,True,900.0,900.0,900.0,4.0,False,Fraîchementrénové,3090,Maison,2.9444444444444446,Flanders
10242903,True,False,3650.0,3.0,195.0,True,False,False,True,32.0,True,100.0,200.0,200.0,3.0,False,Excellentétat,1180,Maison,18.25,Brussels
10244205,True,False,1450.0,3.0,204.0,True,False,False,True,25.0,True,700.0,700.0,700.0,4.0,False,Fraîchementrénové,1860,Maison,2.0714285714285716,Brussels
10245597,True,False,1500.0,3.0,130.0,True,False,False,True,25.0,False,0.0,475.0,475.0,2.0,False,Bon,1650,Maison,3.1578947368421053,Brussels
10246222,True,False,2950.0,3.0,350.0,True,False,False,True,17.0,False,0.0,385.0,385.0,2.0,False,Fraîchementrénové,1000,Bienexceptionnel,7.662337662337662,Brussels
10247726,True,False,1200.0,3.0,140.0,True,False,False,False,0.0,True,250.0,337.0,337.0,3.0,False,Excellentétat,4020,Maison,3.5608308605341246,Wallonia
10247967,True,False,850.0,2.0,160.0,True,False,False,False,0.0,False,0.0,94.0,94.0,2.0,False,Bon,3540,Maison,9.042553191489361,Flanders
